status_id,annotator1,annotator2,annotator3,lang,is_finnish,Notes
1252767756686160000,"","","","","",""
1252811564899540000,"","","",fi,"",""
1252819903100240000,0,0,0,fi,"",""
1252825507919390000,"",+,"",fi,"",""
1252828986599600000,"","","","",NO FINN,""
1252835343134360000,"",-,-,fi,"",""
1252900306314240000,"","","","","",""
1252906102871790000,"",-,"",fi,"",""
1252927860244770000,0,+,+,fi,"",""
1252940881100970000,"","","",fi,"",""
1252946372476760000,"",+,"",fi,"",""
1252948055495710000,"","","",sw,NO FINN,""
1252952192069380000,"",-,"",fi,"",""
1252952445459840000,-,0,-,fi,"",""
1252952871261310000,"",-,"",fi,"",""
1252952982234250000,"",0,-,fi,"",""
1252954960226060000,"","","","","",""
1252955631180380000,"","","","","",""
1252956417537030000,"","","",sw,NO FINN,""
1252957591006780000,"","","",fi,"",""
1252958240805130000,"","","",fi,"",""
1252958330139660000,"","","",sw,NO FINN,""
1252958643323990000,"","","",fi,"",""
1252958962682680000,"","","",fi,"",""
1252961235609530000,"","","",fi,"",""
1252963664778440000,"","","",fi,no fin,""
1252963888045440000,"","","",fi,"",""
1252964360672210000,"",+,0,fi,"",""
1252966816588150000,"",0,"",fi,"",""
1252967352519610000,-,-,-,fi,"",""
1252967902803890000,"",0,"",fi,"",""
1252968133582820000,0,0,-,fi,"",""
1252968589688220000,"","","",fi,"",""
1252971203712750000,"","","",fi,"",""
1252972864485100000,"","","","","",""
1252973229892870000,"","","",sw,NO FINN,""
1252973334821770000,"","","",fi,"",""
1252975064989010000,"","","",fi,"",""
1252975562412430000,"","","",so,"",""
1252977628929240000,"",-,"",fi,"",""
1252979679956470000,"","","",sw,"",""
1252979903063930000,"",0,"",fi,"",""
1252980441210070000,"","","",no,"",""
1252980698576760000,"","","",fi,"",""
1252980878483110000,"","","",fi,"",""
1252981860034120000,-,-,-,fi,"",""
1252981949012080000,"","","","","",""
1252982430010610000,"","","",fi,"",""
1252983526070390000,"","","",fi,"",""
1252984181510060000,"","","",fi,"",""
1252984549946110000,0,0,+,fi,"",""
1252984694276350000,"","","",fi,"",""
1252985850134130000,"","","",fi,"",""
1252987232551690000,"","","","","",""
1252987980022720000,"",0,"",fi,"",""
1252988389982380000,"","","",fi,"",""
